Index,Text
84,"This flower painting is called Fireburst, It was created by Bernadette Resha, created in 2014. It follows the Outsider art style. "
85,"This flower painting is called Sunburst, It was created by Bernadette Resha, created in 2014. It follows the Outsider art style. "
86,"This figurative is called Natures Best, It was created by Bernadette Resha, created in 2014. It follows the Outsider art style. "
87,"This figurative is called Falling Leaves, It was created by Bernadette Resha, created in 2014. It follows the Outsider art style. "
88,"This flower painting is called Colors of Summer, It was created by Bernadette Resha, created in 2014. It follows the Outsider art style. "
89,"This figurative is called Moonlight Crows, It was created by Bernadette Resha, created in 2014. It follows the Outsider art style. "
90,"This still life is called Desirable, It was created by Bernadette Resha, created in 2015. It follows the Outsider art style. "
91,"This figurative is called Gathering of Ghosts, It was created by Bernadette Resha, created in 2014. It follows the Outsider art style. "
92,"This still life is called Down to Earth, It was created by Bernadette Resha, created in 2014. It follows the Outsider art style. "
93,"This installation is called Poland National Gallery’s Great Hall Staircase, It was created by Leon Tarasewicz, created in 2006. It follows the Conceptual Art style. "
94,"This flower painting is called Mail Box, It was created by Bernadette Resha, created in 2013. It follows the Outsider art style. "
95,"This flower painting is called Morning's Glory, It was created by Bernadette Resha, created in 2014. It follows the Outsider art style. "
96,"This figurative is called Pygmy Blue, It was created by Bernadette Resha, created in 2012. It follows the Outsider art style. "
97,"This figurative is called Magnificent, It was created by Bernadette Resha, created in 2012. It follows the Outsider art style. "
98,"This flower painting is called Paradise, It was created by Bernadette Resha, created in 2017. It follows the Outsider art style. "
99,"This flower painting is called Morning Nectar, It was created by Bernadette Resha, created in 2013. It follows the Outsider art style. "
100,"This figurative is called Violin Keys, It was created by Bernadette Resha, created in 2012. It follows the Outsider art style. "
101,"This sketch and study is called Study for a Male Head, It was created by SM Sultan, created in 1956. It follows the Social Realism,Expressionism style. "
102,"This tessellation is called Colors of Summer, It was created by Bernadette Resha, created in 2014. It follows the Outsider art style. "
103,"This flower painting is called Pink Lotus, It was created by Bernadette Resha, created in 2011. It follows the Outsider art style. "
104,"This flower painting is called Glorious, It was created by Bernadette Resha, created in 2012. It follows the Outsider art style. "
105,"This animal painting is called Zebra, It was created by Bernadette Resha, created in 2012. It follows the Outsider art style. "
106,"This still life is called Life is a Bowl of Cherries, It was created by Bernadette Resha, created in 2010. It follows the Outsider art style. "
107,"This figurative is called Radiant Blue, It was created by Bernadette Resha, created in 2011. It follows the Outsider art style. "
108,"This flower painting is called Harvest Time, It was created by Bernadette Resha, created in 2014. It follows the Outsider art style. "
109,"This graffiti is called Print, It was created by TAKI 183. It follows the Street art style. "
110,"This flower painting is called Summer Radiance, It was created by Bernadette Resha, created in 2008. It follows the Outsider art style. "
111,"This graffiti is called Print, It was created by TAKI 183. It follows the Street art style. "
112,"This is Taki 183 Spawns Pen Pals, It was created by TAKI 183. It follows the Street art style. "
113,"This still life is called Fun on the Beach, It was created by Bernadette Resha, created in 2014. It follows the Outsider art style. "
114,"This animal painting is called Midnight, It was created by Bernadette Resha, created in 2011. It follows the Outsider art style. "
115,"This graffiti is called Metro Tag, It was created by TAKI 183. It follows the Street art style. "
116,"This flower painting is called The Heavenly Hibiscus, It was created by Bernadette Resha, created in 2009. It follows the Outsider art style. "
117,"This graffiti is called Untitled Print, It was created by TAKI 183. It follows the Street art style. "
118,"This graffiti is called New York City Subway Map, It was created by TAKI 183, created in 2010. It follows the Street art style. "
119,"This graffiti is called Untitled Print, It was created by TAKI 183, created in 2009. It follows the Street art style. "
120,"This utensil is called Untitled, It was created by Christian Royal. It follows the Outsider art style. "
121,"This utensil is called Untitled, It was created by Christian Royal. It follows the Outsider art style. "
122,"This utensil is called Untitled, It was created by Christian Royal. It follows the Outsider art style. "
123,"This utensil is called Untitled, It was created by Christian Royal. It follows the Outsider art style. "
124,"This utensil is called Untitled, It was created by Christian Royal. It follows the Outsider art style. "
125,"This animal painting is called The Strolling Goose, It was created by Bernadette Resha, created in 2008. It follows the Outsider art style. "
126,"This utensil is called Untitled, It was created by Christian Royal. It follows the Outsider art style. "
127,"This is Untitled, It was created by Christian Royal. It follows the Outsider art style. "
128,"This utensil is called Untitled, It was created by Christian Royal. It follows the Outsider art style. "
129,"This is Untitled, It was created by Christian Royal. It follows the Outsider art style. "
130,"This utensil is called Untitled, It was created by Christian Royal. It follows the Outsider art style. "
131,"This utensil is called Untitled, It was created by Christian Royal. It follows the Outsider art style. "
132,"This jewelry is called Untitled, It was created by Christian Royal. It follows the Outsider art style. "
133,"This utensil is called Untitled, It was created by Christian Royal. It follows the Outsider art style. "
134,"This utensil is called Untitled, It was created by Christian Royal. It follows the Outsider art style. "
135,"This utensil is called Untitled, It was created by Christian Royal. It follows the Outsider art style. "
136,"This utensil is called Untitled, It was created by Christian Royal. It follows the Outsider art style. "
137,"This is Untitled, It was created by Christian Royal. It follows the Outsider art style. "
138,"This utensil is called Untitled, It was created by Christian Royal. It follows the Outsider art style. "
139,"This utensil is called Untitled, It was created by Christian Royal. It follows the Outsider art style. "
140,"This utensil is called Untitled, It was created by Christian Royal. It follows the Outsider art style. "
141,"This utensil is called Untitled, It was created by Christian Royal. It follows the Outsider art style. "
142,"This utensil is called Untitled, It was created by Christian Royal. It follows the Outsider art style. "
143,"This utensil is called Untitled, It was created by Christian Royal. It follows the Outsider art style. "
144,"This utensil is called Untitled, It was created by Christian Royal. It follows the Outsider art style. "
145,"This utensil is called Untitled, It was created by Christian Royal. It follows the Outsider art style. "
146,"This utensil is called Untitled, It was created by Christian Royal. It follows the Outsider art style. "
147,"This landscape is called Untitled, It was created by Gennady Mironov, created in 2019. It follows the Realism,Magic Realism style. It create on oil"
148,"This landscape is called Untitled, It was created by Gennady Mironov. It follows the Realism,Magic Realism style. It create on oil"
149,"This sculpture is called Untitled, It was created by Christian Royal. It follows the Outsider art style. "
150,"This landscape is called Untitled, It was created by Gennady Mironov, created in 2019. It follows the Magic Realism style. It create on oil"
151,"This landscape is called By the Edge, It was created by Gennady Mironov, created in 2017. It follows the Realism,Magic Realism style. It create on oil"
152,"This symbolic painting is called Untitled, It was created by Gennady Mironov, created in 2019. It follows the Magic Realism,Kitsch style. It create on oil"
153,"This jewelry is called Untitled, It was created by Christian Royal. It follows the Outsider art style. "
154,"This utensil is called Untitled, It was created by Christian Royal. It follows the Outsider art style. "
155,"This landscape is called Untitled, It was created by Gennady Mironov, created in 2019. It follows the Realism,Magic Realism style. It create on oil"
156,"This utensil is called Untitled, It was created by Christian Royal. It follows the Outsider art style. "
157,"This landscape is called Untitled, It was created by Gennady Mironov, created in 2015. It follows the Realism style. It create on oil"
158,"This landscape is called By the Edge, It was created by Gennady Mironov, created in 2017. It follows the Realism,Magic Realism style. It create on oil"
159,"This landscape is called Untitled, It was created by Gennady Mironov, created in 2016. It follows the Realism,Magic Realism style. It create on oil"
160,"This cloudscape is called Untitled, It was created by Gennady Mironov, created in 2017. It follows the Magic Realism style. It create on oil"
161,"This landscape is called Untitled, It was created by Gennady Mironov, created in 2018. It follows the Realism,Magic Realism style. It create on oil"
162,"This jewelry is called Untitled, It was created by Christian Royal. It follows the Outsider art style. "
163,"This landscape is called Untitled, It was created by Gennady Mironov, created in 2014. It follows the Realism,Kitsch style. It create on oil"
164,"This graffiti is called Plastic Bag, It was created by Anthony Sims. It follows the Neo-Expressionism style. It create on acrylic, canvas"
165,"This graffiti is called Redcoat, It was created by Anthony Sims, created in 2020. It follows the Neo-Expressionism style. It create on acrylic, canvas"
166,"This graffiti is called Melted, It was created by Anthony Sims, created in 2020. It follows the Neo-Expressionism style. It create on acrylic, canvas"
167,"This symbolic painting is called Untitled, It was created by Gennady Mironov, created in 2011. It follows the Magic Realism,Kitsch style. It create on acrylic"
168,"This figurative is called Deal With It, It was created by Anthony Sims. It follows the Neo-Expressionism style. It create on acrylic, canvas"
169,"This graffiti is called Still Here, It was created by Anthony Sims, created in 2020. It follows the Neo-Expressionism style. It create on acrylic, canvas"
170,"This graffiti is called Artifact, It was created by Anthony Sims, created in 2020. It follows the Neo-Expressionism style. It create on acrylic, canvas"
171,"This figurative is called Opioids, It was created by Anthony Sims, created in 2019. It follows the Neo-Expressionism style. It create on acrylic, canvas"
172,"This graffiti is called Last Left, It was created by Anthony Sims. It follows the Neo-Expressionism style. It create on acrylic, canvas"
173,"This graffiti is called Elephant Ears, It was created by Anthony Sims, created in 2020. It follows the Neo-Expressionism style. It create on acrylic, canvas"
174,"This landscape is called Untitled, It was created by Gennady Mironov, created in 2017. It follows the Realism style. It create on oil"
175,"This figurative is called My OXO, It was created by Anthony Sims, created in 2019. It follows the Neo-Expressionism,Neo-Pop Art style. It create on acrylic, canvas"
176,"This figurative is called 10400, It was created by Anthony Sims, created in 2019. It follows the Neo-Expressionism style. It create on acrylic, canvas"
177,"This figurative is called Flick, It was created by Anthony Sims, created in 2019. It follows the Neo-Expressionism,Neo-Pop Art style. It create on acrylic, canvas"
178,"This figurative is called Thunder Struck, It was created by Anthony Sims, created in 2019. It follows the Neo-Expressionism,Neo-Pop Art style. It create on acrylic, canvas"
179,"This figurative is called 901 Rollin', It was created by Anthony Sims, created in 2018. It follows the Neo-Expressionism style. It create on acrylic, canvas"
180,"This figurative is called June to October, It was created by Anthony Sims, created in 2018. It follows the Neo-Expressionism style. It create on acrylic, canvas"
181,"This history painting is called Romulus Und Remus, It was created by Joseph Binder, created in 1850. It follows the Academicism style. "
182,"This religious painting is called Die Bekehrung Des Heiligen Eustachius, It was created by Joseph Binder, created in 1849. It follows the Academicism style. "
183,"This graffiti is called 244 Commerce St., It was created by Anthony Sims, created in 2019. It follows the Neo-Expressionism style. It create on acrylic, canvas"
184,"This religious painting is called Three Kings on their Journey to Bethlehem, It was created by Joseph Binder. It follows the Academicism style. It create on oil"
185,"This portrait is called Toothbrush and a Comb, It was created by Denis Peterson. It follows the Hyper-Realism style. "
186,"This religious painting is called Die Speisung Jakobs in Der Wüste, It was created by Joseph Binder, created in 1848. It follows the Academicism style. "
187,"This genre painting is called The Wall, It was created by Denis Peterson. It follows the Hyper-Realism style. "
188,"This graffiti is called Wu Wei, It was created by Anthony Sims. It follows the Neo-Expressionism style. It create on acrylic, canvas"
189,"This portrait is called Tombstone Hand, Graveyard Mind, It was created by Denis Peterson. It follows the Hyper-Realism style. "
190,"This genre painting is called Dust to Dust, It was created by Denis Peterson. It follows the Hyper-Realism style. "
191,"This figurative is called Snow in an Avalanche, It was created by Anthony Sims, created in 2019. It follows the Neo-Expressionism,Neo-Pop Art style. It create on acrylic, canvas"
192,"This genre painting is called Neon Lights, It was created by Denis Peterson. It follows the Hyper-Realism style. "
193,"This figurative is called Apocalypse, It was created by Denis Peterson. It follows the Hyper-Realism style. "
194,"This figurative is called US Highway 1, It was created by Allan D'Arcangelo. It follows the Pop Art style. "
195,"This digital is called No New Friends, It was created by Anthony Sims. It follows the Digital Art,Neo-Expressionism style. It create on digital"
196,"This figurative is called Smoke Dream, It was created by Allan D'Arcangelo. It follows the Pop Art style. "
197,"This figurative is called The Holy Family, It was created by Allan D'Arcangelo. It follows the Pop Art style. "
198,"This genre painting is called Cardboard Dreams, It was created by Denis Peterson. It follows the Hyper-Realism style. "
199,"This figurative is called Can't Lose What You Never Had, It was created by Denis Peterson. It follows the Hyper-Realism style. "
200,"This landscape is called Untitled, It was created by Gennady Mironov, created in 2015. It follows the Realism style. It create on oil"
201,"This figurative is called Looking North at 121 Mile Marker, It was created by Allan D'Arcangelo. It follows the Pop Art style. "
202,"This abstract is called Landscape BB, It was created by Allan D'Arcangelo, created in 1974. It follows the Pop Art style. "
203,"This graffiti is called Loss of a Subjective Self-Identity, It was created by Anthony Sims, created in 2020. It follows the Neo-Expressionism,Neo-Pop Art style. It create on acrylic, canvas"
204,"This figurative is called Landscape I, It was created by Allan D'Arcangelo, created in 1965. It follows the Pop Art style. "
205,"This figurative is called Smoke Dream #2, It was created by Allan D'Arcangelo, created in 1963. It follows the Pop Art style. "
206,"This portrait is called Not Again, It was created by Denis Peterson. It follows the Hyper-Realism style. "
207,"This abstract is called Constellation, It was created by Allan D'Arcangelo, created in 1971. It follows the Pop Art style. "
208,"This abstract is called April, It was created by Allan D'Arcangelo, created in 1969. It follows the Pop Art style. "
209,"This figurative is called Untitled, It was created by Allan D'Arcangelo, created in 1966. It follows the Pop Art style. "
210,"This is Komitas, It was created by Mariam Aslamazian, created in 1982. It create on oil"
211,"This is I also would like to live, It was created by Mariam Aslamazian, created in 1980. It create on oil"
212,"This still life is called Meghri Pomegranates, It was created by Mariam Aslamazian, created in 1982. It create on oil"
213,"This self-portrait is called Self-portrait in red, It was created by Mariam Aslamazian, created in 1980. It follows the Naïve Art (Primitivism) style. It create on oil, canvas"
214,"This landscape is called Untitled, It was created by Gennady Mironov, created in 2016. It follows the Realism,Magic Realism style. It create on oil"
215,"This is Our Vegetable, It was created by Mariam Aslamazian, created in 1979. It create on oil"
216,"This is Two naitives from Guinea, It was created by Mariam Aslamazian, created in 1979. It create on oil"
217,"This is Fairy-tale lemon, It was created by Mariam Aslamazian, created in 1980. It create on oil"
218,"This is Old Meghri, It was created by Mariam Aslamazian, created in 1980. It create on oil"
219,"This abstract is called Constellation, It was created by Allan D'Arcangelo, created in 1971. It follows the Pop Art style. "
220,"This is Gayane, It was created by Mariam Aslamazian, created in 1978. It create on oil"
221,"This is Young communist leaguer from Tatev, It was created by Mariam Aslamazian, created in 1978. It create on oil"
222,"This is Donara, It was created by Mariam Aslamazian, created in 1978. It create on oil"
223,"This is Khostinsky onion, It was created by Mariam Aslamazian, created in 1980. It create on oil"
224,"This is Angola's, Mexico's, Mozabmique's, Etiopia's masks, It was created by Mariam Aslamazian, created in 1979. It create on oil"
225,"This is In the connection with with house-warming, It was created by Mariam Aslamazian, created in 1977. It create on oil"
226,"This is Grey-blue thistle, It was created by Mariam Aslamazian, created in 1978. It create on oil"
227,"This is Still-life with Indian masks and shoes, It was created by Mariam Aslamazian, created in 1977. It create on oil"
228,"This is Russian still-life in the orange background, It was created by Mariam Aslamazian, created in 1976. It create on oil"
229,"This is The fairy-tales of Indian Ocean, It was created by Mariam Aslamazian, created in 1978. It create on oil"
230,"This is Papers: flame, It was created by Mariam Aslamazian, created in 1978. It create on oil"
231,"This is The women from India, It was created by Mariam Aslamazian, created in 1975. It create on oil"
232,"This is Present bouquet of Safaryan, It was created by Mariam Aslamazian, created in 1974. It create on oil"
233,"This is Flowers of perished heroes, It was created by Mariam Aslamazian, created in 1976. It create on oil"
234,"This is Hanqavan flowers in the background of mountains, It was created by Mariam Aslamazian, created in 1974. It create on oil"
235,"This is Pink and sky-blue flowers, It was created by Mariam Aslamazian, created in 1974. It create on oil"
236,"This is Tulips with yellow and violet flowers, It was created by Mariam Aslamazian, created in 1974. It create on oil"
237,"This is Memory about adolescence, It was created by Mariam Aslamazian, created in 1974. It create on oil"
238,"This is Hanqavan wild flowers, It was created by Mariam Aslamazian, created in 1974. It create on oil"
239,"This is Hanqavan tulips and pink flowers, It was created by Mariam Aslamazian, created in 1974. It create on oil"
240,"This is Mahabalipuram at sunset, It was created by Mariam Aslamazian, created in 1973. It create on tempera"
241,"This is Peaches with oleaster branches, It was created by Mariam Aslamazian, created in 1973. It create on oil"
242,"This is Indian landscape, It was created by Mariam Aslamazian, created in 1973. It create on tempera"
243,"This is The life passed, It was created by Mariam Aslamazian, created in 1972. It create on oil"
244,"This is The portrait of old teacher, It was created by Mariam Aslamazian, created in 1970. It create on watercolor"
245,"This is Portrait of different years, It was created by Mariam Aslamazian, created in 1976. It create on oil"
246,"This is The student of Delhi University, It was created by Mariam Aslamazian, created in 1970. It create on watercolor"
247,"This is The portrait of Jaipurean waiter, It was created by Mariam Aslamazian, created in 1970. It create on oil"
248,"This is The portrait of Jaipurean artist, It was created by Mariam Aslamazian, created in 1970. It create on oil"
249,"This is The portrait of boy, It was created by Mariam Aslamazian, created in 1970. It create on oil"
250,"This is The sisters, It was created by Mariam Aslamazian, created in 1970. It create on oil"
251,"This is The woman from Madras, It was created by Mariam Aslamazian, created in 1970. It create on oil"
252,"This is Silver grass with yellow flowers, It was created by Mariam Aslamazian, created in 1974. It create on oil"
253,"This is Shushan Bibin, It was created by Mariam Aslamazian, created in 1973. It create on oil"
254,"This is A letter from front, It was created by Mariam Aslamazian, created in 1969. It create on oil"
255,"This is Girls from Madagaskar, It was created by Mariam Aslamazian, created in 1967. It create on oil"
256,"This is Still/life ""Madagaskar"", It was created by Mariam Aslamazian, created in 1967. It create on oil"
257,"This is Mother's fears and dreams, It was created by Mariam Aslamazian, created in 1967. It create on oil"
258,"This is The city walls of Old Bukhara, It was created by Mariam Aslamazian, created in 1967. It create on oil"
259,"This is A street in Naples: a market, It was created by Mariam Aslamazian, created in 1965. It create on oil"
260,"This is Fertility, It was created by Mariam Aslamazian, created in 1966. It create on oil"
261,"This is My first hunt, It was created by Mariam Aslamazian, created in 1965. It create on oil"
262,"This is The squaw with the child, It was created by Mariam Aslamazian, created in 1970. It create on oil"
263,"This is Mother's portrait, It was created by Mariam Aslamazian, created in 1965. It create on oil"
264,"This is Khostinsky pomegranates, plums, pitches, It was created by Mariam Aslamazian, created in 1963. It create on oil"
265,"This is Mughni's children, It was created by Mariam Aslamazian, created in 1964. It create on oil"
266,"This is Wild flowers, It was created by Mariam Aslamazian, created in 1964. It create on oil"
267,"This is Guinea: village Koyak, It was created by Mariam Aslamazian, created in 1961. It create on oil"
268,"This is The portrait of sikkha, It was created by Mariam Aslamazian, created in 1970. It create on oil"
269,"This is The portrait of younger Zenob, It was created by Mariam Aslamazian, created in 1962. It create on oil"
270,"This is Hanqavan bouquet with narcissus, It was created by Mariam Aslamazian, created in 1962. It create on oil"
271,"This figurative is called Mr. and Mrs. Moby Dick, It was created by Allan D'Arcangelo. It follows the Pop Art style. "
272,"This is She waits for her sons, It was created by Mariam Aslamazian, created in 1960. It create on oil"
273,"This is White chrysanthemums, It was created by Mariam Aslamazian, created in 1958. It create on oil"
274,"This is Still-life with eastern coppern dish, It was created by Mariam Aslamazian, created in 1957. It create on oil"
275,"This is Armenian fruits, It was created by Mariam Aslamazian, created in 1957. It create on oil"
276,"This is The national competent woman, It was created by Mariam Aslamazian, created in 1976. It create on oil"
277,"This is Ayrivank red stones, It was created by Mariam Aslamazian, created in 1956. It create on oil"
278,"This figurative is called Madonna and Child, It was created by Allan D'Arcangelo, created in 1963. It follows the Pop Art style. "
279,"This is Fruits on the orange sari, It was created by Mariam Aslamazian, created in 1959. It create on oil"
280,"This is Decorative panel ""Armenian fruits"", It was created by Mariam Aslamazian, created in 1985. It create on clay"
281,"This is The constructing bridge in Yerevan, It was created by Mariam Aslamazian, created in 1952. It create on oil"
282,"This is The dancer from Madras, It was created by Mariam Aslamazian, created in 1951. It create on oil"
283,"This is Our studio in Moscow Culture House, It was created by Mariam Aslamazian, created in 1950. It create on oil"
284,"This is A talk about life, It was created by Mariam Aslamazian, created in 1960. It create on oil"
285,"This is Still-life with pating brushes, It was created by Mariam Aslamazian, created in 1953. It create on oil"
286,"This is Flowers, It was created by Mariam Aslamazian, created in 1949. It create on lithography"
287,"This is Mountain flowers, It was created by Mariam Aslamazian, created in 1951. It create on oil"
288,"This is Kabul, It was created by Mariam Aslamazian, created in 1957. It create on oil"
289,"This is The portait of old bolshevik Berberyan, It was created by Mariam Aslamazian, created in 1947. It create on oil"
290,"This is Grapes on the ground, It was created by Mariam Aslamazian, created in 1948. It create on oil"
